food_name,calories,fat,sat_fat,carbs,sugar,protein,fiber,cholesterol,sodium,sodium_pct_daily,cholesterol_pct_daily,sat_fat_pct_daily,fat_pct_daily,carbs_pct_daily,fiber_pct_daily,sugar_pct_meal_limit,risk_level,risk_label,chatbot_summary
parsley fresh,1,0.078,0.016,0.2,0.001,0.1,0.1,0.0,0.056,0.0028,0.0,0.08,0.12,0.06666666666666668,0.4,0.01,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
celtuce,1,0.088,0.0,0.3,0.0,0.071,0.1,0.0,0.094,0.004699999999999999,0.0,0.0,0.13538461538461538,0.1,0.4,0.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
chives raw,1,0.088,0.083,0.1,0.02,0.03,0.044,0.0,0.099,0.00495,0.0,0.415,0.13538461538461538,0.03333333333333334,0.176,0.2,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
cayenne pepper,1,0.094,0.043,0.2,0.089,0.039,0.052,0.0,0.059,0.00295,0.0,0.215,0.14461538461538462,0.06666666666666668,0.208,0.89,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
sesbania flower raw,1,0.095,0.0,0.2,0.0,0.012,0.0,0.0,0.007,0.00035,0.0,0.0,0.14615384615384616,0.06666666666666668,0.0,0.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
parsley dried,1,0.096,0.064,0.3,0.073,0.1,0.1,0.0,0.058,0.0029,0.0,0.32,0.1476923076923077,0.1,0.4,0.7299999999999999,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
enoki mushrooms,1,0.099,0.027,0.2,0.034,0.062,0.089,0.0,0.084,0.004200000000000001,0.0,0.135,0.1523076923076923,0.06666666666666668,0.356,0.34,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
rosemary fresh,1,0.1,0.016,0.1,0.0,0.005,0.012,0.0,0.039,0.00195,0.0,0.08,0.15384615384615385,0.03333333333333334,0.048,0.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
baking powder,2,0.0,0.0,1.3,0.0,0.0,0.03,0.0,0.5,0.025,0.0,0.0,0.0,0.4333333333333333,0.12,0.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
chamomile tea,2,0.0,0.028,0.4,0.0,0.0,0.0,0.0,0.003,0.00015000000000000001,0.0,0.13999999999999999,0.0,0.13333333333333336,0.0,0.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
black tea,2,0.0,0.072,0.7,0.0,0.0,0.0,0.0,0.091,0.00455,0.0,0.36,0.0,0.2333333333333333,0.0,0.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
herb tea,2,0.0,0.014,0.4,0.0,0.0,0.0,0.0,0.064,0.0031999999999999997,0.0,0.06999999999999999,0.0,0.13333333333333336,0.0,0.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
instant lemon tea,2,0.0,0.0,0.3,0.047,0.1,0.0,0.0,0.046,0.0023,0.0,0.0,0.0,0.1,0.0,0.47000000000000003,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
cooking wine,2,0.0,0.0,0.3,0.09,0.028,0.0,0.0,0.002,9.999999999999999e-05,0.0,0.0,0.0,0.1,0.0,0.8999999999999999,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
non alcoholic wine,2,0.0,0.0,0.3,0.3,0.1,0.0,0.0,0.095,0.00475,0.0,0.0,0.0,0.1,0.0,3.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
sweet sour dressing,2,0.0,0.0,0.6,0.6,0.082,0.0,0.0,0.065,0.0032500000000000003,0.0,0.0,0.0,0.2,0.0,6.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
basil dried,2,0.027,0.02,0.3,0.054,0.2,0.3,0.0,0.089,0.00445,0.0,0.1,0.04153846153846154,0.1,1.2,0.54,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
ginger root,2,0.028,0.048,0.4,0.019,0.068,0.058,0.0,0.0,0.0,0.0,0.24000000000000002,0.043076923076923075,0.13333333333333336,0.232,0.19,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
java plum,2,0.029,0.0,0.5,0.0,0.034,0.0,0.0,0.063,0.00315,0.0,0.0,0.04461538461538462,0.16666666666666669,0.0,0.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
asparagus raw,2,0.037,0.012,0.5,0.2,0.3,0.3,0.0,0.047,0.0023499999999999997,0.0,0.060000000000000005,0.05692307692307692,0.16666666666666669,1.2,2.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
bay leaf,2,0.042,0.08,0.4,0.0,0.086,0.2,0.0,0.084,0.004200000000000001,0.0,0.4,0.06461538461538462,0.13333333333333336,0.8,0.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
sage ground,2,0.046,0.07,0.4,0.052,0.058,0.3,0.0,0.083,0.00415,0.0,0.35000000000000003,0.07076923076923078,0.13333333333333336,1.2,0.52,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
tarragon dried,2,0.047,0.01,0.3,0.0,0.1,0.038,0.0,0.012,0.0006000000000000001,0.0,0.05,0.07230769230769231,0.1,0.152,0.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
irishmoss,2,0.049,0.06,0.6,0.098,0.037,0.082,0.0,0.084,0.004200000000000001,0.0,0.3,0.07538461538461538,0.2,0.328,0.98,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
acerola cherry,2,0.052,0.074,0.4,0.0,0.079,0.077,0.0,0.088,0.0044,0.0,0.37,0.07999999999999999,0.13333333333333336,0.308,0.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
gatorade g2 pepsi,2,0.052,0.0,0.6,0.4,0.069,0.0,0.0,0.011,0.00055,0.0,0.0,0.07999999999999999,0.2,0.0,4.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
hot chile pepper dried,2,0.054,0.001,0.3,0.2,0.054,0.1,0.0,0.041,0.00205,0.0,0.005,0.08307692307692308,0.1,0.4,2.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
surinam cherry pitanga,2,0.059,0.0,0.5,0.0,0.045,0.0,0.0,0.1,0.005,0.0,0.0,0.09076923076923075,0.16666666666666669,0.0,0.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
chanterelle mushrooms,2,0.063,0.0,0.4,0.076,0.033,0.2,0.0,0.028,0.0014,0.0,0.0,0.09692307692307692,0.13333333333333336,0.8,0.76,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
kelp,2,0.067,0.037,0.5,0.069,0.07,0.018,0.0,0.019,0.0009500000000000001,0.0,0.185,0.1030769230769231,0.16666666666666669,0.072,0.6900000000000001,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
coffee,2,0.069,0.011,0.0,0.0,0.3,0.0,0.0,0.075,0.00375,0.0,0.05499999999999999,0.10615384615384617,0.0,0.0,0.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
serrano pepper,2,0.075,0.072,0.4,0.2,0.1,0.2,0.0,0.067,0.00335,0.0,0.36,0.11538461538461538,0.13333333333333336,0.8,2.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
longan,2,0.076,0.0,0.5,0.0,0.009,0.071,0.0,0.0,0.0,0.0,0.0,0.11692307692307692,0.16666666666666669,0.284,0.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
horseradish,2,0.085,0.007,0.6,0.4,0.003,0.2,0.0,0.039,0.00195,0.0,0.034999999999999996,0.13076923076923078,0.2,0.8,4.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
american grapes,2,0.087,0.029,0.4,0.4,0.035,0.09,0.0,0.056,0.0028,0.0,0.14500000000000002,0.13384615384615384,0.13333333333333336,0.36,4.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
baby zucchini,2,0.089,0.02,0.3,0.0,0.3,0.1,0.0,0.041,0.00205,0.0,0.1,0.1369230769230769,0.1,0.4,0.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
capers canned,2,0.089,0.021,0.4,0.011,0.2,0.3,0.0,0.2,0.01,0.0,0.10500000000000001,0.1369230769230769,0.13333333333333336,1.2,0.10999999999999999,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
basil fresh,2,0.089,0.069,0.2,0.064,0.2,0.1,0.0,0.058,0.0029,0.0,0.34500000000000003,0.1369230769230769,0.06666666666666668,0.4,0.64,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
straw mushrooms canned,2,0.09,0.1,0.3,0.0,0.2,0.1,0.0,0.049,0.0024500000000000004,0.0,0.5,0.13846153846153844,0.1,0.4,0.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
saffron,2,0.092,0.047,0.5,0.0,0.071,0.002,0.0,0.063,0.00315,0.0,0.23500000000000001,0.14153846153846156,0.16666666666666669,0.008,0.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
coriander leaves dried,2,0.098,0.099,0.3,0.045,0.1,0.095,0.0,0.018,0.0008999999999999999,0.0,0.49500000000000005,0.15076923076923077,0.1,0.38,0.44999999999999996,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
red wine vinegar,3,0.0,0.0,0.011,0.0,0.055,0.0,0.0,0.092,0.0046,0.0,0.0,0.0,0.0036666666666666666,0.0,0.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
cider vinegar,3,0.0,0.0,0.1,0.018,0.0,0.0,0.0,0.011,0.00055,0.0,0.0,0.0,0.03333333333333334,0.0,0.18,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
vinegar,3,0.0,0.0,0.089,0.063,0.0,0.0,0.0,0.024,0.0012000000000000001,0.0,0.0,0.0,0.029666666666666664,0.0,0.63,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
espresso decaffeinated,3,0.011,0.037,0.5,0.0,0.065,0.0,0.0,0.011,0.00055,0.0,0.185,0.016923076923076923,0.16666666666666669,0.0,0.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
shallots dried,3,0.013,0.063,0.7,0.3,0.1,0.1,0.0,0.059,0.00295,0.0,0.315,0.019999999999999997,0.2333333333333333,0.4,3.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
chili pepper sauce green,3,0.032,0.048,0.8,0.4,0.1,0.3,0.0,0.03,0.0014999999999999998,0.0,0.24000000000000002,0.04923076923076923,0.2666666666666667,1.2,4.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
grapes,3,0.044,0.041,0.9,0.8,0.045,0.087,0.0,0.009,0.00044999999999999993,0.0,0.20500000000000002,0.06769230769230769,0.3,0.348,8.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
crayfish raw,3,0.048,0.01,0.0,0.0,0.6,0.0,4.3,0.024,0.0012000000000000001,1.4333333333333333,0.05,0.07384615384615385,0.0,0.0,0.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
muscadine grapes,3,0.056,0.0,0.8,0.0,0.014,0.2,0.0,0.024,0.0012000000000000001,0.0,0.0,0.08615384615384615,0.2666666666666667,0.8,0.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
garden cress raw,3,0.062,0.052,0.5,0.4,0.2,0.063,0.0,0.079,0.0039499999999999995,0.0,0.26,0.09538461538461539,0.16666666666666669,0.252,4.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
asparagus cooked,3,0.074,0.004,0.6,0.2,0.4,0.3,0.0,0.0,0.0,0.0,0.02,0.11384615384615385,0.2,1.2,2.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
cauliflower raw,3,0.081,0.094,0.6,0.2,0.2,0.3,0.0,0.042,0.0021000000000000003,0.0,0.47000000000000003,0.12461538461538463,0.2,1.2,2.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
espresso,3,0.086,0.068,0.5,0.0,0.021,0.0,0.0,0.083,0.00415,0.0,0.34,0.1323076923076923,0.16666666666666669,0.0,0.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
spearmint fresh,3,0.089,0.049,0.5,0.0,0.2,0.4,0.0,0.092,0.0046,0.0,0.245,0.1369230769230769,0.16666666666666669,1.6,0.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
chili pepper sauce red,3,0.089,0.073,0.6,0.4,0.1,0.1,0.0,0.003,0.00015000000000000001,0.0,0.36499999999999994,0.1369230769230769,0.2,0.4,4.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
chum salmon raw,3,0.1,0.08,0.0,0.0,0.6,0.0,2.1,0.029,0.00145,0.7000000000000001,0.4,0.15384615384615385,0.0,0.0,0.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
mustard,3,0.2,0.021,0.3,0.048,0.2,0.2,0.0,0.015,0.0007499999999999999,0.0,0.10500000000000001,0.3076923076923077,0.1,0.8,0.48000000000000004,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
instant coffee with water decaffeinated,4,0.0,0.024,0.8,0.0,0.2,0.0,0.0,0.093,0.00465,0.0,0.12000000000000001,0.0,0.2666666666666667,0.0,0.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
instant coffee with water,4,0.0,0.051,0.6,0.0,0.2,0.0,0.0,0.015,0.0007499999999999999,0.0,0.25499999999999995,0.0,0.2,0.0,0.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
nance syrup,4,0.002,0.0,0.8,0.6,0.028,0.3,0.0,0.035,0.0017500000000000003,0.0,0.0,0.003076923076923077,0.2666666666666667,1.2,6.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
jalapeno pepper,4,0.002,0.06,0.9,0.6,0.1,0.4,0.0,0.028,0.0014,0.0,0.3,0.003076923076923077,0.3,1.6,6.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
multigrain cheerios general mills,4,0.005,0.0,1.0,0.2,0.038,0.1,0.072,0.0,0.0,0.023999999999999997,0.0,0.007692307692307693,0.33333333333333337,0.4,2.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
watercress,4,0.006,0.071,0.4,0.099,0.8,0.2,0.0,0.038,0.0019000000000000002,0.0,0.355,0.009230769230769232,0.13333333333333336,0.8,0.9900000000000001,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
strawberry guava,4,0.008,0.039,1.0,0.0,0.01,0.3,0.0,0.059,0.00295,0.0,0.19499999999999998,0.012307692307692308,0.33333333333333337,1.2,0.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
cured beef dried,4,0.019,0.086,0.06,0.006,0.9,0.0,2.2,0.049,0.0024500000000000004,0.7333333333333334,0.43,0.02923076923076923,0.019999999999999997,0.0,0.060000000000000005,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
shrimp raw,4,0.023,0.061,0.041,0.0,0.7,0.0,6.3,0.083,0.00415,2.0999999999999996,0.305,0.03538461538461539,0.013666666666666667,0.0,0.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
garlic,4,0.026,0.033,0.9,0.043,0.2,0.064,0.0,0.018,0.0008999999999999999,0.0,0.165,0.039999999999999994,0.3,0.256,0.43,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
savory ground,4,0.029,0.085,1.0,0.0,0.074,0.6,0.0,0.055,0.0027500000000000003,0.0,0.42500000000000004,0.04461538461538462,0.33333333333333337,2.4,0.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
jellybeans,4,0.043,0.0,1.0,0.8,0.0,0.083,0.0,0.076,0.0038000000000000004,0.0,0.0,0.06615384615384615,0.33333333333333337,0.332,8.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
dill weed fresh,4,0.063,0.064,0.6,0.0,0.3,0.2,0.0,0.017,0.00085,0.0,0.32,0.09692307692307692,0.2,0.8,0.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
strawberries,4,0.069,0.057,0.9,0.6,0.01,0.2,0.0,0.068,0.0034,0.0,0.28500000000000003,0.10615384615384617,0.3,0.8,6.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
morel mushrooms,4,0.07,0.056,0.7,0.096,0.4,0.4,0.0,0.08,0.004,0.0,0.27999999999999997,0.10769230769230771,0.2333333333333333,1.6,0.9600000000000001,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
red lettuce,4,0.08,0.036,0.6,0.1,0.4,0.3,0.0,0.057,0.00285,0.0,0.18,0.12307692307692308,0.2,1.2,1.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
okra,4,0.082,0.001,0.9,0.2,0.2,0.4,0.0,0.098,0.004900000000000001,0.0,0.005,0.12615384615384614,0.3,1.6,2.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
coriander leaves raw,4,0.086,0.044,0.6,0.1,0.3,0.4,0.0,0.005,0.00025,0.0,0.21999999999999997,0.1323076923076923,0.2,1.6,1.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
shoestring french fries,4,0.1,0.059,0.7,0.062,0.099,0.099,0.0,0.055,0.0027500000000000003,0.0,0.295,0.15384615384615385,0.2333333333333333,0.396,0.62,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
butterbur,4,0.2,0.0,0.5,0.0,0.1,0.0,0.0,0.053,0.00265,0.0,0.0,0.3076923076923077,0.16666666666666669,0.0,0.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
rosemary dried,4,0.2,0.083,0.8,0.0,0.081,0.5,0.0,0.048,0.0024000000000000002,0.0,0.415,0.3076923076923077,0.2666666666666667,2.0,0.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
tea blueberry muffin tekanne,4,0.2,0.2,0.4,0.007,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3076923076923077,0.13333333333333336,0.0,0.06999999999999999,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
green olives pickled,4,0.4,0.064,0.1,0.051,0.073,0.057,0.0,0.1,0.005,0.0,0.32,0.6153846153846154,0.03333333333333334,0.22799999999999998,0.5099999999999999,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
amp energy sugar free pepsi,5,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.093,0.00465,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
